number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_gammar,params_hidden_dim,params_learning_rate,params_num_layers,state
93,0.42587965726852417,2024-03-29 20:58:38.604058,2024-03-29 20:59:08.981404,0 days 00:00:30.377346,2,False,0.28061951706081184,0.03893808384474113,128,0.03613442321217796,2,COMPLETE
94,0.3922077417373657,2024-03-29 20:59:08.983863,2024-03-29 20:59:52.916373,0 days 00:00:43.932510,2,False,0.30144362951807757,0.03386634813791527,128,0.03000284579852313,2,COMPLETE
95,0.42323899269104004,2024-03-29 20:59:52.918540,2024-03-29 21:00:29.507118,0 days 00:00:36.588578,2,False,0.3021124259079317,0.03187336683262307,128,0.027720808587505204,2,COMPLETE
96,0.40058618783950806,2024-03-29 21:00:29.508625,2024-03-29 21:01:00.582962,0 days 00:00:31.074337,2,False,0.26649256916743147,0.03224686776857039,128,0.04791401492626021,2,COMPLETE
97,0.6716490387916565,2024-03-29 21:01:00.583963,2024-03-29 21:01:08.496815,0 days 00:00:07.912852,8,False,0.26642318876405724,0.0341764817329568,128,0.061466641474395387,2,COMPLETE
98,0.4551863670349121,2024-03-29 21:01:08.498814,2024-03-29 21:01:49.122565,0 days 00:00:40.623751,2,False,0.321256491969842,0.03690069481287976,128,0.04430390642988926,2,COMPLETE
99,0.6625769138336182,2024-03-29 21:01:49.123565,2024-03-29 21:01:59.097758,0 days 00:00:09.974193,16,False,0.24237124613807928,0.029501024513990653,128,0.03596461405498475,2,COMPLETE
100,0.47473880648612976,2024-03-29 21:01:59.099759,2024-03-29 21:02:32.342864,0 days 00:00:33.243105,2,False,0.3707835796538675,0.01968020247098531,128,0.02519293578056341,2,COMPLETE
101,0.41792136430740356,2024-03-29 21:02:32.343866,2024-03-29 21:03:13.865241,0 days 00:00:41.521375,2,False,0.22701516542239802,0.05019075674691484,128,0.01893294820587504,2,COMPLETE
102,0.47047147154808044,2024-03-29 21:03:13.866241,2024-03-29 21:03:49.486875,0 days 00:00:35.620634,2,False,0.3557532877930437,0.024918079281955895,128,0.04831947040729749,2,COMPLETE
103,0.4251613914966583,2024-03-29 21:03:49.488876,2024-03-29 21:04:27.043926,0 days 00:00:37.555050,2,False,0.2932876528156397,0.023102118162582817,128,0.03400243758269526,2,COMPLETE
104,0.37630221247673035,2024-03-29 21:04:27.044927,2024-03-29 21:05:07.347282,0 days 00:00:40.302355,2,False,0.3414199624880341,0.0407762874220661,128,0.03041800736228608,2,COMPLETE
105,0.4482000470161438,2024-03-29 21:05:07.348282,2024-03-29 21:05:37.561568,0 days 00:00:30.213286,2,False,0.34399662318483215,0.039691282533258446,128,0.0789496626588706,2,COMPLETE
106,0.45633411407470703,2024-03-29 21:05:37.563581,2024-03-29 21:06:08.634534,0 days 00:00:31.070953,2,False,0.3291005750118355,0.04420180749735435,128,0.03021578410763667,2,COMPLETE
107,0.6276548504829407,2024-03-29 21:06:08.636726,2024-03-29 21:06:37.338579,0 days 00:00:28.701853,4,True,0.3043541158263913,0.03129149189476437,128,0.020928199877278883,2,COMPLETE
108,0.4344182014465332,2024-03-29 21:06:37.339579,2024-03-29 21:07:01.542626,0 days 00:00:24.203047,2,False,0.26199258704620815,0.03599405819740629,128,0.06750058686415666,2,COMPLETE
109,0.4825957715511322,2024-03-29 21:07:01.543626,2024-03-29 21:07:35.430198,0 days 00:00:33.886572,2,False,0.31772466636839847,0.008543651449001936,128,0.05271845901452736,2,COMPLETE
110,0.4202146530151367,2024-03-29 21:07:35.431862,2024-03-29 21:08:49.844547,0 days 00:01:14.412685,2,False,0.27450528950599984,0.04233227667360559,256,0.009842212711855574,2,COMPLETE
111,0.46796026825904846,2024-03-29 21:08:49.846066,2024-03-29 21:09:14.267154,0 days 00:00:24.421088,2,False,0.3383529351994617,0.058296506898296845,128,0.04140405648716454,1,COMPLETE
112,0.44884318113327026,2024-03-29 21:09:14.268154,2024-03-29 21:09:44.239868,0 days 00:00:29.971714,2,False,0.0735121000422298,0.001500098281754105,128,0.015305345434321624,2,COMPLETE
113,0.43739643692970276,2024-03-29 21:09:44.241371,2024-03-29 21:10:08.977571,0 days 00:00:24.736200,2,False,0.30845198725377576,0.054266695757468605,128,0.024781658045276635,1,COMPLETE
114,0.419437974691391,2024-03-29 21:10:08.978581,2024-03-29 21:10:42.023652,0 days 00:00:33.045071,2,False,0.36215970282966997,0.06370146345742872,128,0.03081353955544845,2,COMPLETE
115,0.4511701166629791,2024-03-29 21:10:42.025653,2024-03-29 21:10:58.065795,0 days 00:00:16.040142,2,False,0.32481986002216895,0.047947164620912724,128,0.0019683240339119683,1,COMPLETE
116,0.41710203886032104,2024-03-29 21:10:58.067804,2024-03-29 21:11:30.954447,0 days 00:00:32.886643,2,False,0.37727225841437234,0.027269372542822384,128,0.002723881112710955,2,COMPLETE
117,0.3921571969985962,2024-03-29 21:11:30.955447,2024-03-29 21:11:57.580893,0 days 00:00:26.625446,2,False,0.34600781384035517,0.0794938250063481,128,0.011366790552882587,2,COMPLETE
118,0.4306437075138092,2024-03-29 21:11:57.582943,2024-03-29 21:12:30.402287,0 days 00:00:32.819344,2,False,0.35049657707696147,0.017529818756776228,128,0.011887293150579792,2,COMPLETE
119,0.6697285771369934,2024-03-29 21:12:30.404305,2024-03-29 21:12:44.353082,0 days 00:00:13.948777,8,False,0.3360426379048992,0.07050111253177695,128,0.019051051433728615,2,COMPLETE
